facet_name,category,score,confidence,reason,scoreable
Cooking and Culinary Arts,other,,0,not_inferable_from_conversation_text,false
Cooperation,social,,0,not_inferable_from_conversation_text,false
Cordiality,other,,0,not_inferable_from_conversation_text,false
Courageousness,other,,0,not_inferable_from_conversation_text,false
Creative resilience,other,,0,not_inferable_from_conversation_text,false
Creative risk-taking tendency,personality,,0,not_inferable_from_conversation_text,false
Creativity in solutions,other,,0,not_inferable_from_conversation_text,false
Dance rehearsal hours/week,other,,0,not_inferable_from_conversation_text,false
Dance-cardio sessions,lifestyle,,0,not_inferable_from_conversation_text,false
Dance-style mastery diversity,other,,0,not_inferable_from_conversation_text,false
Data Analysis,cognitive,,0,not_inferable_from_conversation_text,false
Data-sharing consent level,other,,0,not_inferable_from_conversation_text,false
Dauntlessness,other,,0,not_inferable_from_conversation_text,false
Decency,other,,0,not_inferable_from_conversation_text,false
Decision-Making Confidence,cognitive,,0,not_inferable_from_conversation_text,false
Decision-making decisiveness,cognitive,,0,not_inferable_from_conversation_text,false
Decision-making speed,cognitive,,0,not_inferable_from_conversation_text,false
Defense-mechanism tendency: Introjection,other,,0,not_inferable_from_conversation_text,false
Democratic Leadership,social,,0,not_inferable_from_conversation_text,false
Depression (DEP),other,,0,not_inferable_from_conversation_text,false
Depression Symptoms,other,,0,not_inferable_from_conversation_text,false
Depression: Feelings of sadness and hopelessness,emotion,,0,not_inferable_from_conversation_text,false
Desperation,other,,0,not_inferable_from_conversation_text,false
Dietary Habits,other,,0,not_inferable_from_conversation_text,false
Digital-nomad months,other,,0,not_inferable_from_conversation_text,false
Dignity,other,,0,not_inferable_from_conversation_text,false
Disagreeableness,other,,0,not_inferable_from_conversation_text,false
Discernment practice hours / week,other,,0,not_inferable_from_conversation_text,false
Discontentment,emotion,,0,not_inferable_from_conversation_text,false
Disrespect,other,,0,not_inferable_from_conversation_text,false
Divided Attention Ability,other,,0,not_inferable_from_conversation_text,false
Doggedness,personality,,0,not_inferable_from_conversation_text,false
Drollness,other,,0,not_inferable_from_conversation_text,false
Drug-use history,other,,0,not_inferable_from_conversation_text,false
Eating Habits (Home-Cooked vs. Eating Out),lifestyle,,0,not_inferable_from_conversation_text,false
Eco-tourism trips,other,,0,not_inferable_from_conversation_text,false
Economic reasoning,cognitive,,0,not_inferable_from_conversation_text,false
Effeteness,other,,0,not_inferable_from_conversation_text,false
Ego Dissolution Frequency,other,,0,not_inferable_from_conversation_text,false
Emotional-intelligence measure: Impulsiveness,emotion,,0,not_inferable_from_conversation_text,false
Emotionalism,emotion,,0,not_inferable_from_conversation_text,false
Encouraging participation,other,,0,not_inferable_from_conversation_text,false
Energy-healing practice: Reiki sessions / year,lifestyle,,0,not_inferable_from_conversation_text,false
Enthusiasm,personality,,0,not_inferable_from_conversation_text,false
Equitableness,other,,0,not_inferable_from_conversation_text,false
Estimating Calculations,other,,0,not_inferable_from_conversation_text,false
Evaluating Solutions,other,,0,not_inferable_from_conversation_text,false
Exemplariness,other,,0,not_inferable_from_conversation_text,false
Eye-contact duration,other,,0,not_inferable_from_conversation_text,false
Fearfulness: Fear of physical dangers,other,,0,not_inferable_from_conversation_text,false
Feedback-giving frequency,other,,0,not_inferable_from_conversation_text,false
Flawlessness,other,,0,not_inferable_from_conversation_text,false
Frankness,other,,0,not_inferable_from_conversation_text,false
FSH level,biological,,0,not_inferable_from_conversation_text,false
Gamified-finance-app usage,lifestyle,,0,not_inferable_from_conversation_text,false
General Mood and Attitude,biological,,0,not_inferable_from_conversation_text,false
Genialness,other,,0,not_inferable_from_conversation_text,false
Genuine,other,,0,not_inferable_from_conversation_text,false
Gnostic spiritual metric: Archon meditation frequency,spiritual,,0,not_inferable_from_conversation_text,false
Goal-Directed Behavior,other,,0,not_inferable_from_conversation_text,false
Graffiti appreciation,other,,0,not_inferable_from_conversation_text,false
Happiness,emotion,,0,not_inferable_from_conversation_text,false
Hardworking,other,,0,not_inferable_from_conversation_text,false
Harmfulness,safety,,0,not_inferable_from_conversation_text,false
Hatefulness,safety,,0,not_inferable_from_conversation_text,false
Health-literacy level,other,,0,not_inferable_from_conversation_text,false
Hesitation,personality,,0,not_inferable_from_conversation_text,false
HEXACO Personality Inventory Facets,other,,0,not_inferable_from_conversation_text,false
Hindu spiritual metric: Bhagavad-Gita study hours,spiritual,,0,not_inferable_from_conversation_text,false
Hindu spiritual metric: Vrata vows observed / year,spiritual,,0,not_inferable_from_conversation_text,false
Hindu spiritual metric: Yoga discipline hours / week,spiritual,,0,not_inferable_from_conversation_text,false
Holiness,spiritual,,0,not_inferable_from_conversation_text,false
Hostility,safety,,0,not_inferable_from_conversation_text,false
Hypomania (Ma),other,,0,not_inferable_from_conversation_text,false
Hysteria (Hy),other,,0,not_inferable_from_conversation_text,false
I Ching hexagram 19 resonance level,other,,0,not_inferable_from_conversation_text,false
I Ching hexagram 22 resonance level,other,,0,not_inferable_from_conversation_text,false
I Ching hexagram 24 resonance level,other,,0,not_inferable_from_conversation_text,false
I Ching hexagram 36 resonance level,other,,0,not_inferable_from_conversation_text,false
I Ching hexagram 43 resonance level,other,,0,not_inferable_from_conversation_text,false
I Ching hexagram 49 resonance level,other,,0,not_inferable_from_conversation_text,false
I Ching hexagram 5 resonance level,other,,0,not_inferable_from_conversation_text,false
Ideas generated/day,biological,,0,not_inferable_from_conversation_text,false
Immune-response age,other,,0,not_inferable_from_conversation_text,false
Impracticalness,other,,0,not_inferable_from_conversation_text,false
Impulsivity,other,,0,not_inferable_from_conversation_text,false
Inattentiveness,other,,0,not_inferable_from_conversation_text,false
Independence,other,,0,not_inferable_from_conversation_text,false
Inefficiency,other,,0,not_inferable_from_conversation_text,false
Information Retention,other,,0,not_inferable_from_conversation_text,false
Initiative,other,,0,not_inferable_from_conversation_text,false
Innovation and Creativity Components,other,,0,not_inferable_from_conversation_text,false
Input,other,,0,not_inferable_from_conversation_text,false
Intelligence Quotient (IQ),other,,0,not_inferable_from_conversation_text,false
Intrinsic Motivation,other,,0,not_inferable_from_conversation_text,false
Inversion comfort level,other,,0,not_inferable_from_conversation_text,false
Irritability,emotion,,0,not_inferable_from_conversation_text,false
Islamic practice: Seerah study hours,other,,0,not_inferable_from_conversation_text,false
Jewish spiritual metric: Shabbat candle-lighting consistency,spiritual,,0,not_inferable_from_conversation_text,false
Jewish spiritual metric: Sukkot lulav-shaking days,spiritual,,0,not_inferable_from_conversation_text,false
Kabbalah sephira balance: Tiferet,spiritual,,0,not_inferable_from_conversation_text,false
Kink-interest diversity,other,,0,not_inferable_from_conversation_text,false
Leadership Potential,social,,0,not_inferable_from_conversation_text,false
Leadership Styles,social,,0,not_inferable_from_conversation_text,false
Leadership Styles and Behaviors,social,,0,not_inferable_from_conversation_text,false
Learning Style,other,,0,not_inferable_from_conversation_text,false
Learning through movement,other,,0,not_inferable_from_conversation_text,false
Liberalism,other,,0,not_inferable_from_conversation_text,false
Listening Skills Subcomponents,linguistic,,0,not_inferable_from_conversation_text,false
Local-food sourcing %,other,,0,not_inferable_from_conversation_text,false
Macronutrient ratio: carbs,other,,0,not_inferable_from_conversation_text,false
Macronutrient ratio: fat,other,,0,not_inferable_from_conversation_text,false
Managing emotions,other,,0,not_inferable_from_conversation_text,false
Martyrdom,other,,0,not_inferable_from_conversation_text,false
Material properties knowledge,other,,0,not_inferable_from_conversation_text,false
Meeting Deadlines,other,,0,not_inferable_from_conversation_text,false
Memory for Sounds,biological,,0,not_inferable_from_conversation_text,false
Mental Arithmetic Speed,cognitive,,0,not_inferable_from_conversation_text,false
Merriness,other,,0,not_inferable_from_conversation_text,false
Metabolic Rate (Low or High),other,,0,not_inferable_from_conversation_text,false
Mindfulness facet: Observing,spiritual,,0,not_inferable_from_conversation_text,false
Moroseness,emotion,,0,not_inferable_from_conversation_text,false
Motivational Drivers,other,,0,not_inferable_from_conversation_text,false
Multiculturalism,other,,0,not_inferable_from_conversation_text,false
Museum visits/year,lifestyle,,0,not_inferable_from_conversation_text,false
Music-lessons years,other,,0,not_inferable_from_conversation_text,false
Mysteriousness,other,,0,not_inferable_from_conversation_text,false
Nationality,other,,0,not_inferable_from_conversation_text,false
Negative Affect Frequency,other,,0,not_inferable_from_conversation_text,false
Network basics,other,,0,not_inferable_from_conversation_text,false
Neuroticism,other,,0,not_inferable_from_conversation_text,false
New-Age spiritual metric: Channeling sessions / year,lifestyle,,0,not_inferable_from_conversation_text,false
Non-Verbal Communication Skills,linguistic,,0,not_inferable_from_conversation_text,false
Numeric Filing Skills,other,,0,not_inferable_from_conversation_text,false
Numerical Reasoning,cognitive,,0,not_inferable_from_conversation_text,false
Numerical Reasoning Subcomponents,cognitive,,0,not_inferable_from_conversation_text,false
Open-source contributions,other,,0,not_inferable_from_conversation_text,false
Openness,personality,,0,not_inferable_from_conversation_text,false
Orderliness,personality,,0,not_inferable_from_conversation_text,false
Organized lifestyle,lifestyle,,0,not_inferable_from_conversation_text,false
Originality,other,,0,not_inferable_from_conversation_text,false
Parathyroid-hormone level,biological,,0,not_inferable_from_conversation_text,false
Participation in Community Activities,social,,0,not_inferable_from_conversation_text,false
Passive-Aggressive,safety,,0,not_inferable_from_conversation_text,false
Passport-stamps count,other,,0,not_inferable_from_conversation_text,false
Patience: Resistance to anger,personality,,0,not_inferable_from_conversation_text,false
Patient care orientation,other,,0,not_inferable_from_conversation_text,false
Patriotism,social,,0,not_inferable_from_conversation_text,false
Peacefulness,emotion,,0,not_inferable_from_conversation_text,false
Peer-collaboration hours,social,,0,not_inferable_from_conversation_text,false
Peer-to-peer lending usage,lifestyle,,0,not_inferable_from_conversation_text,false
Persistence,other,,0,not_inferable_from_conversation_text,false
Pet-enrichment activities count,lifestyle,,0,not_inferable_from_conversation_text,false
Physical-violence exposure,other,,0,not_inferable_from_conversation_text,false
Pilgrimage participation count,lifestyle,,0,not_inferable_from_conversation_text,false
Polygenic risk: cardiovascular disease,biological,,0,not_inferable_from_conversation_text,false
Practice frequency: Mantra meditation,other,,0,not_inferable_from_conversation_text,false
Practice frequency: Walking meditation,other,,0,not_inferable_from_conversation_text,false
Precision of Movements,linguistic,,0,not_inferable_from_conversation_text,false
Preference for Home-Cooked vs Restaurant Meals,lifestyle,,0,not_inferable_from_conversation_text,false
Presence of Spiritual Pain,spiritual,,0,not_inferable_from_conversation_text,false
Processed-food frequency,other,,0,not_inferable_from_conversation_text,false
Psychological construct: Acculturative Stress score,cognitive,,0,not_inferable_from_conversation_text,false
Psychological construct: Consummatory Pleasure scale,cognitive,,0,not_inferable_from_conversation_text,false
Psychological construct: Excuse-Making tendency,cognitive,,0,not_inferable_from_conversation_text,false
Psychological construct: Executive-Function composite,cognitive,,0,not_inferable_from_conversation_text,false
Psychological construct: Eye-Contact avoidance score,cognitive,,0,not_inferable_from_conversation_text,false
Psychological construct: Hope scale,cognitive,,0,not_inferable_from_conversation_text,false
Psychological construct: Identity Diffusion level,cognitive,,0,not_inferable_from_conversation_text,false
Psychological construct: Need for Achievement level,cognitive,,0,not_inferable_from_conversation_text,false
Psychological construct: Operant-Learning rate,cognitive,,0,not_inferable_from_conversation_text,false
Psychological construct: Perfectionistic Strivings,cognitive,,0,not_inferable_from_conversation_text,false
Psychological construct: Psychological Safety climate,cognitive,,0,not_inferable_from_conversation_text,false
Psychological construct: Resilience-Trait score,cognitive,,0,not_inferable_from_conversation_text,false
Psychomotor Ability Subcomponents,biological,,0,not_inferable_from_conversation_text,false
Psychoticism,other,,0,not_inferable_from_conversation_text,false
Public-transport km/week,other,,0,not_inferable_from_conversation_text,false
Pure Challenge,other,,0,not_inferable_from_conversation_text,false
Quirkiness,personality,,0,not_inferable_from_conversation_text,false
Rapid cognitive processing,cognitive,,0,not_inferable_from_conversation_text,false
Rebelliousness,other,,0,not_inferable_from_conversation_text,false
Regularity of Self-Reflection,other,,0,not_inferable_from_conversation_text,false
Religious coping – Negative,other,,0,not_inferable_from_conversation_text,false
Religious practice: Quran khatam cycles per year,spiritual,,0,not_inferable_from_conversation_text,false
Risktaking,other,,0,not_inferable_from_conversation_text,false
Robotics-interaction frequency,other,,0,not_inferable_from_conversation_text,false
Role of Spirituality in Community Involvement,spiritual,,0,not_inferable_from_conversation_text,false
Sacred text engagement: Quran surahs memorized,spiritual,,0,not_inferable_from_conversation_text,false
Sacred text engagement: Zohar (Kabbalah) study hours,spiritual,,0,not_inferable_from_conversation_text,false
Scripture memorization verses,other,,0,not_inferable_from_conversation_text,false
Seeking approval,other,,0,not_inferable_from_conversation_text,false
Sensationalism,safety,,0,not_inferable_from_conversation_text,false
Sensitiveness,other,,0,not_inferable_from_conversation_text,false
Sequential Memory Recall,cognitive,,0,not_inferable_from_conversation_text,false
Serotonin transporter availability,other,,0,not_inferable_from_conversation_text,false
Servility,other,,0,not_inferable_from_conversation_text,false
Significance: Desire to make an impact,other,,0,not_inferable_from_conversation_text,false
Sikh spiritual metric: Kirtan participation frequency,spiritual,,0,not_inferable_from_conversation_text,false
Skill-endorsements count,other,,0,not_inferable_from_conversation_text,false
Sleep Apnea,biological,,0,not_inferable_from_conversation_text,false
Sleep-disorder diagnosis,biological,,0,not_inferable_from_conversation_text,false
Sleep-environment temperature,other,,0,not_inferable_from_conversation_text,false
Snacking Behavior,other,,0,not_inferable_from_conversation_text,false
Social-cognition variable: Mentalizing network activation,social,,0,not_inferable_from_conversation_text,false
Soft-skill training hours,other,,0,not_inferable_from_conversation_text,false
Spatial perception,other,,0,not_inferable_from_conversation_text,false
Specialist,other,,0,not_inferable_from_conversation_text,false
Spelling Accuracy,linguistic,,0,not_inferable_from_conversation_text,false
Spiritual virtue: Humility practice index,spiritual,,0,not_inferable_from_conversation_text,false
Sportsmanship rating,social,,0,not_inferable_from_conversation_text,false
Statistical Reasoning,cognitive,,0,not_inferable_from_conversation_text,false
Storytelling proficiency,other,,0,not_inferable_from_conversation_text,false
Stress Recovery Ability,other,,0,not_inferable_from_conversation_text,false
Submission,other,,0,not_inferable_from_conversation_text,false
Subscription count,other,,0,not_inferable_from_conversation_text,false
Sufi practice: Dhikr repetitions / day,spiritual,,0,not_inferable_from_conversation_text,false
Sufi practice: Sufi retreat attendance count,spiritual,,0,not_inferable_from_conversation_text,false
Sustainable-transport usage,lifestyle,,0,not_inferable_from_conversation_text,false
Synthesis of information,cognitive,,0,not_inferable_from_conversation_text,false
Talkativeness,other,,0,not_inferable_from_conversation_text,false
Tendency Toward Compromise or Confrontation,other,,0,not_inferable_from_conversation_text,false
Time Orientation End Points,other,,0,not_inferable_from_conversation_text,false
Time outdoors/day (h),lifestyle,,0,not_inferable_from_conversation_text,false
Training-cycle length,other,,0,not_inferable_from_conversation_text,false
Travel-companions diversity,lifestyle,,0,not_inferable_from_conversation_text,false
Troubleshooting technical issues,cognitive,,0,not_inferable_from_conversation_text,false
Type of Support Preferred (Emotional vs. Practical),social,,0,not_inferable_from_conversation_text,false
Types of Mindfulness Techniques Used,spiritual,,0,not_inferable_from_conversation_text,false
Unassertiveness,personality,,0,not_inferable_from_conversation_text,false
Understanding Mathematical Concepts,other,,0,not_inferable_from_conversation_text,false
Understanding mechanical concepts,other,,0,not_inferable_from_conversation_text,false
Use of Mathematical Formulas,other,,0,not_inferable_from_conversation_text,false
Use of Nature as a Stress Reliever,other,,0,not_inferable_from_conversation_text,false
Vision-check frequency,other,,0,not_inferable_from_conversation_text,false
Vivacity,personality,,0,not_inferable_from_conversation_text,false
Volunteer Work,other,,0,not_inferable_from_conversation_text,false
Wake-time consistency,lifestyle,,0,not_inferable_from_conversation_text,false
Warmheartedness,emotion,,0,not_inferable_from_conversation_text,false
Well-being component: Engagement,other,,0,not_inferable_from_conversation_text,false
Withdrawnness,other,,0,not_inferable_from_conversation_text,false
Work Styles,other,,0,not_inferable_from_conversation_text,false