Facets,facet_name_clean,category,scoreable,evaluation_difficulty,requires_full_context,score_anchor_low,score_anchor_high,cluster_id
Dance rehearsal hours/week,Dance rehearsal hours/week,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,8
561. Practice frequency: Mantra meditation,Practice frequency: Mantra meditation,other,False,hard,True,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,-1
Public-transport km/week,Public-transport km/week,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,8
Social Desirability Bias,Social Desirability Bias,social,True,medium,False,"shows little cooperation, civility, or social awareness","shows strong cooperation, civility, and social awareness",2
761. I Ching hexagram 43 resonance level,I Ching hexagram 43 resonance level,other,False,hard,True,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,-1
Disagreeableness,Disagreeableness,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,5
Participation in Community Activities,Participation in Community Activities,social,True,medium,False,"shows little cooperation, civility, or social awareness","shows strong cooperation, civility, and social awareness",10
Impudence,Impudence,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,3
Analogies,Analogies,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,7
Clumsiness,Clumsiness,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,4
Tendency Toward Compromise or Confrontation,Tendency Toward Compromise or Confrontation,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,5
737. I Ching hexagram 19 resonance level,I Ching hexagram 19 resonance level,other,False,hard,True,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,-1
Robotics-interaction frequency,Robotics-interaction frequency,other,False,hard,True,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,-1
Casual lifestyle,Casual lifestyle,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,9
Collectedness,Collectedness,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,0
Reliance on context,Reliance on context,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,0
Delegation skills,Delegation skills,social,True,medium,False,"shows little cooperation, civility, or social awareness","shows strong cooperation, civility, and social awareness",1
767. I Ching hexagram 49 resonance level,I Ching hexagram 49 resonance level,other,False,hard,True,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,-1
Managing emotions,Managing emotions,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,14
Scripture memorization verses,Scripture memorization verses,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,12
Conventional,Conventional,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,0
890. Hindu spiritual metric: Bhagavad-Gita study hours,Hindu spiritual metric: Bhagavad-Gita study hours,spiritual,False,hard,True,cannot be inferred from the conversation text,cannot be inferred from the conversation text,-1
Open-source contributions,Open-source contributions,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,10
Psychological construct: Social Conformity tendency,Psychological construct: Social Conformity tendency,social,True,medium,False,"shows little cooperation, civility, or social awareness","shows strong cooperation, civility, and social awareness",2
Individuality,Individuality,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,3
740. I Ching hexagram 22 resonance level,I Ching hexagram 22 resonance level,other,False,hard,True,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,-1
Attachment style: Secure,Attachment style: Secure,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,1
Intelligence Quotient (IQ),Intelligence Quotient (IQ),other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,11
Blog-subscriber count,Blog-subscriber count,other,False,hard,True,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,-1
Non-Verbal Communication Skills,Non-Verbal Communication Skills,linguistic,True,easy,False,shows frequent language or structure problems,"is clear, polished, and linguistically strong",12
Drug-use history,Drug-use history,other,False,hard,True,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,-1
Commute time/day,Commute time/day,lifestyle,False,hard,True,cannot be inferred from the conversation text,cannot be inferred from the conversation text,-1
Decision-making speed,Decision-making speed,cognitive,True,medium,False,"shows weak reasoning, organization, or analytical depth","shows strong reasoning, organization, and analytical depth",11
Psychological construct: Excuse-Making tendency,Psychological construct: Excuse-Making tendency,cognitive,True,medium,False,"shows weak reasoning, organization, or analytical depth","shows strong reasoning, organization, and analytical depth",9
Peer-to-peer lending usage,Peer-to-peer lending usage,lifestyle,False,hard,True,cannot be inferred from the conversation text,cannot be inferred from the conversation text,-1
Psychological construct: Eye-Contact avoidance score,Psychological construct: Eye-Contact avoidance score,cognitive,True,medium,True,"shows weak reasoning, organization, or analytical depth","shows strong reasoning, organization, and analytical depth",9
Social-cognition variable: Faux Pas Recognition accuracy,Social-cognition variable: Faux Pas Recognition accuracy,social,True,medium,False,"shows little cooperation, civility, or social awareness","shows strong cooperation, civility, and social awareness",2
Conscientiousness (C):,Conscientiousness (C),other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,3
Use of Nature as a Stress Reliever,Use of Nature as a Stress Reliever,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,14
Attitude toward learning,Attitude toward learning,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,13
Conscientiousness Facets:,Conscientiousness Facets,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,3
Honesty-humility trait score,Honesty-humility trait score,other,True,hard,True,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,3
Digital-nomad months,Digital-nomad months,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,8
516. Religious coping – Negative,Religious coping – Negative,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,14
Snacking Behavior,Snacking Behavior,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,9
Aura-color perception,Aura-color perception,spiritual,False,hard,True,cannot be inferred from the conversation text,cannot be inferred from the conversation text,-1
638. Sacred text engagement: Zohar (Kabbalah) study hours,Sacred text engagement: Zohar (Kabbalah) study hours,spiritual,False,hard,True,cannot be inferred from the conversation text,cannot be inferred from the conversation text,-1
Motivational Drivers:,Motivational Drivers,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,9
Cloud-backup frequency,Cloud-backup frequency,other,False,hard,True,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,-1
Learning Style,Learning Style,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,13
872. Islamic practice: Seerah study hours,Islamic practice: Seerah study hours,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,8
Safety compliance,Safety compliance,safety,True,easy,False,"shows harmful, deceptive, hostile, or unsafe behavior","is respectful, honest, and behaviorally safe",1
Sensationalism,Sensationalism,safety,True,easy,False,"shows harmful, deceptive, hostile, or unsafe behavior","is respectful, honest, and behaviorally safe",4
Nationality,Nationality,other,False,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,-1
Drollness,Drollness,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,4
Cooperation,Cooperation,social,True,medium,True,"shows little cooperation, civility, or social awareness","shows strong cooperation, civility, and social awareness",10
Breakfast-skipping frequency,Breakfast-skipping frequency,lifestyle,False,hard,True,cannot be inferred from the conversation text,cannot be inferred from the conversation text,-1
922. Sikh spiritual metric: Kirtan participation frequency,Sikh spiritual metric: Kirtan participation frequency,spiritual,False,hard,True,cannot be inferred from the conversation text,cannot be inferred from the conversation text,-1
Impulsivity,Impulsivity,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,9
Museum visits/year,Museum visits/year,lifestyle,False,hard,True,cannot be inferred from the conversation text,cannot be inferred from the conversation text,-1
Choir participation years,Choir participation years,lifestyle,False,hard,True,cannot be inferred from the conversation text,cannot be inferred from the conversation text,-1
Delegation Ability,Delegation Ability,social,True,medium,False,"shows little cooperation, civility, or social awareness","shows strong cooperation, civility, and social awareness",1
788. Kabbalah sephira balance: Tiferet,Kabbalah sephira balance: Tiferet,spiritual,False,hard,True,cannot be inferred from the conversation text,cannot be inferred from the conversation text,-1
Desire to influence others,Desire to influence others,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,1
Vivacity,Vivacity,personality,True,hard,False,shows little or no evidence of the trait in the conversation,"consistently shows strong, clear evidence of the trait in the conversation",5
Genialness,Genialness,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,4
Cognitive measure: Working Memory Index,Cognitive measure: Working Memory Index,cognitive,False,hard,True,"shows weak reasoning, organization, or analytical depth","shows strong reasoning, organization, and analytical depth",-1
Ethical practices,Ethical practices,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,1
945. New-Age spiritual metric: Channeling sessions / year,New-Age spiritual metric: Channeling sessions / year,lifestyle,False,hard,True,cannot be inferred from the conversation text,cannot be inferred from the conversation text,-1
Civility,Civility,social,True,medium,False,"shows little cooperation, civility, or social awareness","shows strong cooperation, civility, and social awareness",5
Sleep Apnea,Sleep Apnea,biological,False,hard,True,cannot be inferred from the conversation text,cannot be inferred from the conversation text,-1
Classiness,Classiness,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,4
Control over situations,Control over situations,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,1
Time outdoors/day (h),Time outdoors/day (h),lifestyle,False,hard,True,cannot be inferred from the conversation text,cannot be inferred from the conversation text,-1
Effeteness,Effeteness,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,4
Polygenic risk: cardiovascular disease,Polygenic risk: cardiovascular disease,biological,False,hard,True,cannot be inferred from the conversation text,cannot be inferred from the conversation text,-1
Psychological construct: Identity Diffusion level,Psychological construct: Identity Diffusion level,cognitive,True,medium,True,"shows weak reasoning, organization, or analytical depth","shows strong reasoning, organization, and analytical depth",9
Learning through movement,Learning through movement,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,13
Caffeine sensitivity gene,Caffeine sensitivity gene,biological,False,hard,True,cannot be inferred from the conversation text,cannot be inferred from the conversation text,-1
Hatefulness,Hatefulness,safety,True,easy,False,"shows harmful, deceptive, hostile, or unsafe behavior","is respectful, honest, and behaviorally safe",5
Persistence:,Persistence,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,10
Psychological construct: Perfectionistic Strivings,Psychological construct: Perfectionistic Strivings,cognitive,True,medium,False,"shows weak reasoning, organization, or analytical depth","shows strong reasoning, organization, and analytical depth",9
Wake-time consistency,Wake-time consistency,lifestyle,False,hard,True,cannot be inferred from the conversation text,cannot be inferred from the conversation text,-1
Numerical Reasoning:,Numerical Reasoning,cognitive,True,medium,False,"shows weak reasoning, organization, or analytical depth","shows strong reasoning, organization, and analytical depth",7
Social-cognition variable: Mentalizing network activation,Social-cognition variable: Mentalizing network activation,social,False,hard,False,"shows little cooperation, civility, or social awareness","shows strong cooperation, civility, and social awareness",-1
Patriotism,Patriotism,social,True,medium,False,"shows little cooperation, civility, or social awareness","shows strong cooperation, civility, and social awareness",5
Leadership Styles:,Leadership Styles,social,True,medium,False,"shows little cooperation, civility, or social awareness","shows strong cooperation, civility, and social awareness",13
Servility,Servility,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,4
742. I Ching hexagram 24 resonance level,I Ching hexagram 24 resonance level,other,False,hard,True,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,-1
Enneagram Personality Types:,Enneagram Personality Types,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,2
Stress Recovery Ability,Stress Recovery Ability,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,14
Troubleshooting technical issues,Troubleshooting technical issues,cognitive,True,medium,False,"shows weak reasoning, organization, or analytical depth","shows strong reasoning, organization, and analytical depth",8
Defense-mechanism tendency: Introjection,Defense-mechanism tendency: Introjection,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,5
Irritability,Irritability,emotion,True,medium,False,shows little emotional expression or emotional relevance,shows strong and appropriate emotional expression,5
Travel-companions diversity,Travel-companions diversity,lifestyle,False,hard,True,cannot be inferred from the conversation text,cannot be inferred from the conversation text,-1
627. Sacred text engagement: Quran surahs memorized,Sacred text engagement: Quran surahs memorized,spiritual,False,hard,True,cannot be inferred from the conversation text,cannot be inferred from the conversation text,-1
Trust in others,Trust in others,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,1
Gamified-finance-app usage,Gamified-finance-app usage,lifestyle,False,hard,True,cannot be inferred from the conversation text,cannot be inferred from the conversation text,-1
823. Buddhist practice: Eightfold Path – Right Intention level,Buddhist practice: Eightfold Path – Right Intention level,spiritual,False,hard,True,cannot be inferred from the conversation text,cannot be inferred from the conversation text,-1
Caffeine intake (mg/day),Caffeine intake (mg/day),lifestyle,False,hard,True,cannot be inferred from the conversation text,cannot be inferred from the conversation text,-1
Comfort with Vulnerability,Comfort with Vulnerability,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,14
Anticipativeness,Anticipativeness,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,5
Additional Common Parameters and Their End Points:,Additional Common Parameters and Their End Points,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,0
Avoiding:,Avoiding,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,10
Home-security-system presence,Home-security-system presence,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,0
HEXACO domain: Honesty-Humility,HEXACO domain: Honesty-Humility,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,3
Eating Habits (Home-Cooked vs. Eating Out),Eating Habits (Home-Cooked vs. Eating Out),lifestyle,False,hard,True,cannot be inferred from the conversation text,cannot be inferred from the conversation text,-1
Decision-Making Confidence,Decision-Making Confidence,cognitive,True,medium,False,"shows weak reasoning, organization, or analytical depth","shows strong reasoning, organization, and analytical depth",10
Alignment with societal roles,Alignment with societal roles,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,2
Connectedness: Belief in interconnections,Connectedness: Belief in interconnections,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,0
Quirkiness,Quirkiness,personality,True,hard,False,shows little or no evidence of the trait in the conversation,"consistently shows strong, clear evidence of the trait in the conversation",4
Creative resilience,Creative resilience,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,14
Rapid cognitive processing,Rapid cognitive processing,cognitive,True,medium,False,"shows weak reasoning, organization, or analytical depth","shows strong reasoning, organization, and analytical depth",11
Cordiality,Cordiality,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,4
Types of Mindfulness Techniques Used,Types of Mindfulness Techniques Used,spiritual,False,hard,True,cannot be inferred from the conversation text,cannot be inferred from the conversation text,-1
Economic reasoning,Economic reasoning,cognitive,True,medium,False,"shows weak reasoning, organization, or analytical depth","shows strong reasoning, organization, and analytical depth",7
Conformity,Conformity,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,4
Pet-enrichment activities count,Pet-enrichment activities count,lifestyle,False,hard,True,cannot be inferred from the conversation text,cannot be inferred from the conversation text,-1
Aestheticism,Aestheticism,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,4
Type of Support Preferred (Emotional vs. Practical),Type of Support Preferred (Emotional vs. Practical),social,True,medium,False,"shows little cooperation, civility, or social awareness","shows strong cooperation, civility, and social awareness",14
Mental Arithmetic Speed,Mental Arithmetic Speed,cognitive,True,medium,False,"shows weak reasoning, organization, or analytical depth","shows strong reasoning, organization, and analytical depth",11
Patience: Resistance to anger,Patience: Resistance to anger,personality,True,hard,False,shows little or no evidence of the trait in the conversation,"consistently shows strong, clear evidence of the trait in the conversation",5
Flawlessness,Flawlessness,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,4
Self-Efficacy,Self-Efficacy,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,3
Computer Skills:,Computer Skills,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,13
899. Jewish spiritual metric: Shabbat candle-lighting consistency,Jewish spiritual metric: Shabbat candle-lighting consistency,spiritual,False,hard,True,cannot be inferred from the conversation text,cannot be inferred from the conversation text,-1
Spelling Accuracy,Spelling Accuracy,linguistic,True,easy,False,shows frequent language or structure problems,"is clear, polished, and linguistically strong",11
793. Sufi practice: Dhikr repetitions / day,Sufi practice: Dhikr repetitions / day,spiritual,False,hard,True,cannot be inferred from the conversation text,cannot be inferred from the conversation text,-1
Peacefulness,Peacefulness,emotion,True,medium,False,shows little emotional expression or emotional relevance,shows strong and appropriate emotional expression,5
Doggedness,Doggedness,personality,True,hard,False,shows little or no evidence of the trait in the conversation,"consistently shows strong, clear evidence of the trait in the conversation",4
Decency,Decency,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,5
Processed-food frequency,Processed-food frequency,other,False,hard,True,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,-1
